station_cd,new_line_cd,numbering,note
1130101,11301,JT01,東京
1130102,11301,JT02,新橋
1130103,11301,JT03,品川
1130104,11301,JT04,川崎
1130105,11301,JT05,横浜
1130106,11301,JT06,戸塚
1130107,11301,JT07,大船
1130108,11301,JT08,藤沢
1130109,11301,JT09,辻堂
1130110,11301,JT10,茅ケ崎
1130111,11301,JT11,平塚
1130112,11301,JT12,大磯
1130113,11301,JT13,二宮
1130114,11301,JT14,国府津
1130115,11301,JT15,鴨宮
1130116,11301,JT16,小田原
1130117,11301,JT17,早川
1130118,11301,JT18,根府川
1130119,11301,JT19,真鶴
1130120,11301,JT20,湯河原
1130121,11301,JT21,熱海
1130201,11302,JY24,大崎
1130202,11302,JY23,五反田
1130203,11302,JY22,目黒
1130204,11302,JY21,恵比寿
1130205,11302,JY20,渋谷
1130206,11302,JY19,原宿
1130207,11302,JY18,代々木
1130208,11302,JY17,新宿
1130209,11302,JY16,新大久保
1130210,11302,JY15,高田馬場
1130211,11302,JY14,目白
1130212,11302,JY13,池袋
1130213,11302,JY12,大塚
1130214,11302,JY11,巣鴨
1130215,11302,JY10,駒込
1130216,11302,JY09,田端
1130217,11302,JY08,西日暮里
1130218,11302,JY07,日暮里
1130219,11302,JY06,鶯谷
1130220,11302,JY05,上野
1130221,11302,JY04,御徒町
1130222,11302,JY03,秋葉原
1130223,11302,JY02,神田
1130224,11302,JY01,東京
1130225,11302,JY30,有楽町
1130226,11302,JY29,新橋
1130227,11302,JY28,浜松町
1130228,11302,JY27,田町
1130230,11302,JY26,高輪ゲートウェイ
1130229,11302,JY25,品川
1130301,11303,JN01,川崎
1130302,11303,JN02,尻手
1130303,11303,JN03,矢向
1130304,11303,JN04,鹿島田
1130305,11303,JN05,平間
1130306,11303,JN06,向河原
1130307,11303,JN07,武蔵小杉
1130308,11303,JN08,武蔵中原
1130309,11303,JN09,武蔵新城
1130310,11303,JN10,武蔵溝ノ口
1130311,11303,JN11,津田山
1130312,11303,JN12,久地
1130313,11303,JN13,宿河原
1130314,11303,JN14,登戸
1130315,11303,JN15,中野島
1130316,11303,JN16,稲田堤
1130317,11303,JN17,矢野口
1130318,11303,JN18,稲城長沼
1130319,11303,JN19,南多摩
1130320,11303,JN20,府中本町
1130321,11303,JN21,分倍河原
1130329,11303,JN22,西府
1130322,11303,JN23,谷保
1130323,11303,JN24,矢川
1130324,11303,JN25,西国立
1130325,11303,JN26,立川
1130326,11303,JN51,八丁畷
1130327,11303,JN52,川崎新町
1130330,11303,JN53,小田栄
1130328,11303,JN54,浜川崎
1130401,11304,JI01,鶴見
1130402,11304,JI02,国道
1130403,11304,JI03,鶴見小野
1130404,11304,JI04,弁天橋
1130405,11304,JI05,浅野
1130406,11304,JI51,新芝浦
1130407,11304,JI52,海芝浦
1130408,11304,JI06,安善
1130409,11304,JI61,大川
1130410,11304,JI07,武蔵白石
1130411,11304,JI08,浜川崎
1130412,11304,JI09,昭和
1130413,11304,JI10,扇町
1130501,11305,JM35,府中本町
1130502,11305,JM34,北府中
1130503,11305,JM33,西国分寺
1130504,11305,JM32,新小平
1130505,11305,JM31,新秋津
1130506,11305,JM30,東所沢
1130507,11305,JM29,新座
1130508,11305,JM28,北朝霞
1130509,11305,JM27,西浦和
1130510,11305,JM26,武蔵浦和
1130511,11305,JM25,南浦和
1130512,11305,JM24,東浦和
1130513,11305,JM23,東川口
1130514,11305,JM22,南越谷
1130525,11305,JM21,越谷レイクタウン
1130515,11305,JM20,吉川
1130526,11305,JM19,吉川美南
1130516,11305,JM18,新三郷
1130517,11305,JM17,三郷
1130518,11305,JM16,南流山
1130519,11305,JM15,新松戸
1130520,11305,JM14,新八柱
1130521,11305,JM13,東松戸
1130522,11305,JM12,市川大野
1130523,11305,JM11,船橋法典
1130524,11305,JM10,西船橋
1130601,11306,JH13,東神奈川
1130602,11306,JH14,大口
1130603,11306,JH15,菊名
1130604,11306,JH16,新横浜
1130605,11306,JH17,小机
1130606,11306,JH18,鴨居
1130607,11306,JH19,中山
1130608,11306,JH20,十日市場
1130609,11306,JH21,長津田
1130610,11306,JH22,成瀬
1130611,11306,JH23,町田
1130612,11306,JH24,古淵
1130613,11306,JH25,淵野辺
1130614,11306,JH26,矢部
1130615,11306,JH27,相模原
1130616,11306,JH28,橋本
1130617,11306,JH29,相原
1130618,11306,JH30,八王子みなみ野
1130619,11306,JH31,片倉
1130620,11306,JH32,八王子
1130701,11307,JK12,横浜
1130702,11307,JK11,桜木町
1130703,11307,JK10,関内
1130704,11307,JK09,石川町
1130705,11307,JK08,山手
1130706,11307,JK07,根岸
1130707,11307,JK06,磯子
1130708,11307,JK05,新杉田
1130709,11307,JK04,洋光台
1130710,11307,JK03,港南台
1130711,11307,JK02,本郷台
1130712,11307,JK01,大船
1130801,11308,JO19,東京
1130802,11308,JO18,新橋
1130803,11308,JO17,品川
1130804,11308,JO16,西大井
1130819,11308,JO15,武蔵小杉
1130805,11308,JO14,新川崎
1130806,11308,JO13,横浜
1130807,11308,JO12,保土ケ谷
1130808,11308,JO11,東戸塚
1130809,11308,JO10,戸塚
1130810,11308,JO09,大船
1130811,11308,JO08,北鎌倉
1130812,11308,JO07,鎌倉
1130813,11308,JO06,逗子
1130814,11308,JO05,東逗子
1130815,11308,JO04,田浦
1130816,11308,JO03,横須賀
1130817,11308,JO02,衣笠
1130818,11308,JO01,久里浜
1131112,11311,JC24,高尾
1131113,11311,JC25,相模湖
1131114,11311,JC26,藤野
1131115,11311,JC27,上野原
1131116,11311,JC28,四方津
1131117,11311,JC29,梁川
1131118,11311,JC30,鳥沢
1131119,11311,JC31,猿橋
1131120,11311,JC32,大月
1131121,11311,CO33,初狩
1131122,11311,CO34,笹子
1131123,11311,CO35,甲斐大和
1131124,11311,CO36,勝沼ぶどう郷
1131125,11311,CO37,塩山
1131126,11311,CO38,東山梨
1131127,11311,CO39,山梨市
1131128,11311,CO40,春日居町
1131129,11311,CO41,石和温泉
